date;board;period;auto;sended;text
2026.03.13;home;6d;1;0;Съесть что-то из морозилки
2026.03.13;work;6d;1;0;Проверить есть ли деньги на маленькой карте
2026.03.13;work;7d;1;0;Проверить бэкапы гитлаб и лейбл студио на http://minio:50505
2026.03.13;home;7d;1;0;Ване ПХД
2026.03.13;home;7d;1;0;Побриться
2026.03.13;work;7d;1;0;Никакого Cлюсаря по пятницам
2026.03.13;work;15d;1;0;Бэкапнуть таблицу пакм
2026.03.13;work;1m;0;0;Перечитать весь манифест, обновлять актуальную
2026.03.13;home;1m;1;0;Перебрать коробку с подхватным барахлом
2026.03.14;work;7d;1;0;Собрать сумку на бокс. Кеды
2026.03.14;work;8d;1;0;Бэкапнуть таблицу пакм
2026.03.14;work;8d;1;0;Проверить http://172.29.1.9:8000/ppss-ascol-compare/?wanted=10
2026.03.14;home;1m;0;0;Кислотой стиралку, промыть фильтр
2026.03.14;home;1m;0;0;Зарядить аккумулятор, проверить плотность
2026.03.15;work;2m;0;0;Загрузиться с хдд, поменять доменный пароль
2026.03.15;work;6d;0;0;C Ваней когда потеплеет ходить играть в теннис
2026.03.15;work;1y;1;0;Поздравить с др Гуреев Артем Вячеславович
2026.03.16;work;14d;1;0;Смахнуть пыль на работе
2026.03.16;work;1m;1;0;Коммуналку заплатить
2026.03.16;work;6d;0;0;Стрижательный день
2026.03.17;home;14d;1;0;Клавиатуру дома продуть
2026.03.18;work;1m;0;0;Заказать конструктор пвз https://aliexpress.ru/item/1005006273680103.html?spm=a2g2w.home.10009201.19.1ed6274cniDvUB&mixer_rcmd_bucket_id=aerabtestalgoRecommendAbV2_testRecallJustForYouWithoutFilter&ru_algo_pv_id=0f4739-55914f-eced1b-9725ba-1730350800&scenario=aerAppJustForYouNewRuSellTab&sku_id=12000036560834285&traffic_source=recommendation&type_rcmd=core
2026.03.18;work;1m;0;0;Промыть форсунки и дроссельную заслонку
2026.03.18;work;1m;1;0;Снять 4 тыщи на абонемент в принцип Ване наличкой
2026.03.19;home;14d;1;0;Промыть трап. Простирнуть шторку
2026.03.19;work;1y;1;0;Поздравить с др Семеренко Антон Викторович
2026.03.20;home;1m;1;0;Записать показания счетчиков (например в телегу)
2026.03.22;home;1m;1;0;Промыть москитные сетки
2026.03.22;work;1m;1;0;Проверить Ванин счёт, автоплатёж
2026.03.22;work;6d;0;0;Стрижательный день
2026.03.23;work;1m;0;0;Перебрать архив в доске ворк
2026.03.23;work;1m;0;0;Ревизия в моём репозитории
2026.03.23;work;1m;0;0;Проверить пробег. На 200 поменять масло
2026.03.23;work;1m;0;0;Перечитать план развития 2.0
2026.03.23;work;1y;1;0;Поздравить с др Виневская Евгения Леонидовна
2026.03.23;work;1y;1;0;Поздравить с др Синько Виктор Владимирович
2026.03.24;work;1m;1;0;Подать показания счетчиков (до 25го)
2026.03.24;work;1y;1;0;Придумать-заказать подарок на др Андрюше
2026.03.26;work;1m;1;0;Проверить что с ипотекой всё нормалёк
2026.03.26;home;1m;1;0;Рассыпать железо
2026.03.26;work;1m;1;0;Помыть кружку
2026.03.27;work;1m;1;0;Освежить резюме
2026.04.01;work;1m;1;0;Записать др нииас с табла в напоминалки и гугл календарь
2026.04.02;work;6d;0;1;напомнить перед отпуском Гурову, Паше, Виневской, уточнить в кадрах (24,04-30,04)
2026.04.02;work;1m;0;0;Попробовать замутить картину чёрно бело серую
2026.04.02;work;1m;1;0;Ежемесечная ревизия опенвпн клиентов
2026.04.03;work;1m;0;0;Перебрать архив задач
2026.04.03;home;1m;1;0;Промыть фильтр кофемашины
2026.04.03;home;1m;0;1;Помыть кондер
2026.04.10;home;1y;0;0;Перевести окна на летний режим
2026.04.12;home;3m;0;0;Мероприятие по избавлению от барахла. Собрать все вещи в картонную коробку. Зафиксировать дату. Сделать напоминалку. Через год, вещи оставшиеся в коробке не глядя отвезти к Андрюше
2026.04.12;work;6d;0;0;Cтраховка квартиры до 12.05 купить новую
2026.04.30;home;3m;0;0;Покрутить краны, почистить кислотой теплообменник
2026.05.03;work;1y;1;0;Балансировать зимние колёса.
2026.05.05;work;6d;0;0;перевыпустить сертификаты - dockerhub: 05.07.2026 - baget:23.06.2026 - gitlab: 23.06.2026
2026.05.08;home;1m;0;1;По весне снять батареи, подоконник, посмотреть на мышиный предмет
2026.05.09;home;3m;0;0;Смазать машинку. Постричь верх
2026.05.10;home;1y;1;0;Поздравить с др Ларису Мережко
2026.05.11;work;6d;0;0;Написать заявление на отпуск 11.06 - 7 дней
2026.05.15;work;1y;1;0;Поздравить с др Кирилла Невзорова
2026.05.16;home;1y;1;0;Достать летние рубашки и шорты
2026.05.24;work;1y;1;0;Поздравить с др Андрюшу
2026.05.28;work;3m;0;0;Перебрать барахло в тумбочке
2026.06.02;work;1y;1;0;Поздравить с др Гуров Юрий Владимирович
2026.06.05;work;1y;1;0;Поздравить с др Ривкин Михаил Борисович
2026.06.12;work;1y;1;0;Поздравить с др Луговая Ирина Владимировна
2026.06.16;work;6d;0;1;Написать заявление на отпуск 16.07 - 14 дней
2026.06.18;work;1y;1;0;Придумать-заказать подарок на др Юлочке
2026.06.18;work;1y;1;0;Поздравить с др Ключко Александр Анатольевич
2026.06.25;work;1y;1;0;Поздравить с др Андреев Олег Андреевич
2026.06.28;work;1y;1;0;Поздравить с др Поляниченко Дмитрий Сергеевич
2026.06.28;work;1y;1;0;Поздравить с др Ткачев Виталий Валентинович
2026.07.01;work;1y;1;0;Поздравить с др Ермоленко Артем Анатольевич
2026.07.04;work;1y;1;0;Поздравить с др Серёгу Дорманчука
2026.07.14;work;1y;1;0;Придумать-заказать подарок на др Тане
2026.07.15;work;1y;1;0;Поздравить с др Кравцов Алексей Александрович
2026.07.15;work;1y;1;0;Поздравить с др Марков Илья Владимирович
2026.07.16;work;1y;1;0;Поздравить с др Лукин Вадим Александрович
2026.07.18;work;7d;0;0;проверить через неделю du -sh /var/log/gitlab 801M
2026.07.29;work;1y;1;0;Поздравить с др Гришаев Сергей Юрьевич
2026.08.01;work;1y;0;0;Конец августа - затариться болгарскими перцами, острыми, чесноком, злуком, томатом и на варенье
2026.08.03;work;1y;1;0;Поздравить с др Лысенко Павел Владимирович
2026.08.03;work;6d;0;0;Написать заявление на отпуск 03.09 - 7 дней
2026.08.05;work;1y;1;0;Поздравить с др Саркисян Эдгар Геворгович
2026.08.11;work;1y;1;0;Поздравить с др Кудымов Андрей Алексеевич
2026.08.12;work;1y;1;0;День ВВС
2026.08.16;work;1y;1;0;Поздравить с др Пасечник Сергей Владимирович
2026.08.17;work;1y;1;0;Поздравить с др Ваню Михайлева
2026.08.22;work;1y;1;0;Поздравить с др Боровлев Павел Викторович
2026.08.31;work;1y;1;0;Поздравить с др Рому тренера
2026.08.31;work;1y;1;0;Поздравить с др Никитин Александр Владимирович
2026.09.07;work;1y;1;0;Поздравить с др Термалаян Сурен Манукович
2026.09.08;work;1y;1;0;Поздравить с др Запорожцева Ольга Викторовна
2026.09.14;work;1y;1;0;Поздравить с др Назаров Александр Владимирович
2026.09.24;work;1y;1;0;Поздравить с др Вялов Дмитрий Александрович
2026.09.27;work;1y;1;0;Подготовка к зиме. Купить омывачку, размораживатель. Закинуть щетки и лопатки. Промазать резинки силиконом.
2026.09.28;work;1y;1;0;Поздравить с др Рамазанов Роман Джалилович
2026.09.29;work;1y;1;0;Поздравить с др Хилкова Софья Александровна
2026.09.30;work;1y;1;0;Придумать-заказать подарок на др Елизавете
2026.10.06;home;1y;0;0;Разморозить холодильник
2026.10.15;work;1y;0;0;Переход на зиму. Переобуть, зачистить, смазать колеса, петли, резинки. Залить омывачку.
2026.10.25;work;1y;1;0;Поздравить с др Вахтанга
2026.10.31;work;1y;1;0;Придумать-заказать подарки на Новый год
2026.11.05;work;1y;1;0;Поздравить с др Дин Анастасия Евгеньевна
2026.11.08;home;1y;0;0;Резинки окон силиконовой смазкой брызнуть
2026.11.08;work;1y;1;0;Поздравить с др Поздеева Екатерина Анатольевна
2026.11.10;home;1y;0;0;Перевести окна на зимний режим
2026.11.16;work;1y;1;0;Придумать-заказать подарок на др Ване
2026.11.20;work;1y;1;0;Поздравить с др сына Рому тренера
2026.11.30;work;1y;1;0;Поздравить с др Артеменко Виталий Игоревич
2026.11.30;work;1y;1;0;Поздравить с др Елисавету Романовну Гельвельчук
2026.12.01;work;1y;1;0;Поздравить с др Акмалов Руслан Рамилович
2026.12.07;work;1y;1;0;Поздравить с др Федорин Данил Вячеславович
2026.12.07;work;1y;1;0;Поздравить с др Тызыхов Евгений Игоревич
2026.12.13;work;1y;1;0;Поздравить с др Слепых Константин Васильевич
2026.12.13;work;1y;1;0;Поздравить с др Андрюху
2026.12.14;work;1y;1;0;Заказать на али на 14.02
2026.12.15;work;1y;1;0;Поздравить с др Широбоков Владимир Вячеславович
2026.12.15;work;1y;1;0;Поздравить с др Заря Даниил Андреевич
2026.12.19;work;1y;1;0;Поздравить с др Вову Мережко
2026.12.22;work;1y;1;0;Поздравить с др Светлану Анатольевну
2026.12.23;home;1y;1;1;Заказать Андрюше прикол на 23 февраля
2026.12.23;work;1y;1;0;Поздравить с др Владоса
2026.12.31;work;1y;1;0;Поздравить с др Славика Покусаенко
2027.01.03;work;1y;1;0;Балансировать летние колёса.
2027.01.08;work;1y;1;0;Заказать на али на 08.03
2027.01.08;work;1y;1;0;Придумать-заказать подарки на 8 марта
2027.01.13;work;1y;1;0;Поздравить с др Клименко Евгений Александрович
2027.01.15;work;6d;0;1;Поздравить маму с Таниным днём (сначала посмотреть когда он)
2027.01.16;work;1y;1;0;Поздравить с др Головко Александр Николаевич
2027.01.28;work;1w;1;0;Протереть кроксы
2027.02.03;work;1y;1;0;Поздравить с др Гриненко Наталья Павловна
2027.02.15;work;1y;0;1;Переход на весну. Переобуть, зачистить, смазать колеса, петли, резинки
2027.02.21;work;1y;1;0;Поздравить с др Панов Константин Викторович
2027.02.23;home;1y;1;0;Поздравить Андрюшу с 23
2027.03.01;work;1ь;1;0;Выбрать категории сбер, ашан и магнит
2027.03.01;work;1y;1;0;Поздравить с др Хилков Данил Владимирович
2027.03.05;work;1y;1;0;Поздравить с др Зосимов Максим Андреевич
2027.03.06;work;1y;1;0;Поздравить с др Тутиков Андрей Игоревич
2027.03.06;work;1y;1;0;Поздравить с др Пархоменко Даниил Андреевич
2032.02.22;work;6d;0;0;Напомнить Мише Гранкину про воскресную школу мехмата2026.03.30;work;1y;1;0;Поздравить с др Колесникова Ирина Борисовна
2026.03.20;work;1y;1;0;Поздравить с др Мартиросов Сергей Владимирович
